,Station ID,XCNAQ1067,XCNAQ1066,XCNAQ1068,XCNAQ346,XCNAQ1063,XCNAQ1065,XCNAQ1064,XCNAQ1071,XCNAQ1070,XCNAQ1069,XCNAQ2872,XCNAQ2873,XCNAQ017,XCNAQ478,XCNAQ1213,CN_1489A,CN_1487A,CN_1486A,XCNAQ1214,XCNAQ1212,CN_1488A,CN_1484A,CN_1485A
0,Latitude,37.0172,37.4514,37.5002,39.1447,37.9647,37.9722,37.9844,36.0210,36.0022,36.1417,39.0153,39.2282,38.8170,39.1292,38.4841,38.5036,38.4858,38.4536,38.4949,38.4413,38.4975,38.6016,38.4744
1,Longitude,105.1800,105.0197,105.1971,106.6752,106.1532,106.1960,106.2025,106.2375,106.2792,106.2319,106.3717,106.7704,106.3394,106.7097,106.2739,106.1358,106.0720,106.2170,106.1024,106.2275,106.2328,105.9512,106.2680
2,Time,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
2118,2018/10/17 00:00:00,35.7391,37.4783,26.0000,17.7826,22.2174,24.3913,27.0455,57.6522,63.0000,68.0435,-99999.0000,-99999.0000,26.3043,19.7391,32.2609,26.0435,-99999.0000,-99999.0000,36.1364,16.9091,30.4348,-99999.0000,-99999.0000
2119,2018/10/18 00:00:00,51.9583,52.6667,37.1250,36.0833,28.6250,30.2500,34.9167,39.3750,40.0000,49.1667,-99999.0000,-99999.0000,40.6667,40.9583,30.5417,44.0833,-99999.0000,-99999.0000,62.2500,20.9565,34.2917,55.0000,-99999.0000
2120,2018/10/19 00:00:00,35.7083,31.7500,20.0833,36.5833,24.0833,30.0833,30.0833,25.1905,14.3636,18.0909,-99999.0000,-99999.0000,41.2500,42.4583,40.0833,43.0417,-99999.0000,-99999.0000,62.9524,24.7826,46.1250,38.1579,-99999.0000
2121,2018/10/20 00:00:00,48.2083,44.7917,36.0417,27.7083,29.7500,34.4167,33.5000,21.3043,18.6667,21.9583,-99999.0000,-99999.0000,32.2083,32.1250,37.6250,39.8750,-99999.0000,-99999.0000,65.1875,27.6250,37.2083,29.7083,-99999.0000
2122,2018/10/21 00:00:00,85.8000,64.6000,70.7500,43.2500,50.1579,41.3000,46.9500,45.9000,48.8000,61.8000,-99999.0000,-99999.0000,42.9500,60.8000,56.7500,58.8000,-99999.0000,-99999.0000,77.6500,48.2500,54.7500,44.4500,-99999.0000
2123,2018/10/22 00:00:00,35.9565,25.3750,30.8182,15.8750,27.2917,21.7500,23.2083,29.3636,25.5000,35.4167,-99999.0000,-99999.0000,21.6087,27.0909,26.4783,21.7917,-99999.0000,-99999.0000,33.7917,25.1053,25.4583,12.9500,-99999.0000
2124,2018/10/23 00:00:00,49.9565,35.8182,46.9130,52.0909,47.3182,34.8095,36.9565,33.1739,29.9565,32.7143,-99999.0000,-99999.0000,62.9565,44.8182,46.6957,40.2727,-99999.0000,-99999.0000,54.1304,44.1364,47.5217,21.8261,-99999.0000
2125,2018/10/24 00:00:00,38.8000,33.5000,32.5500,29.0000,44.2500,34.2000,36.0526,17.9000,16.6000,20.0000,-99999.0000,-99999.0000,59.4000,23.7000,49.7000,44.1000,-99999.0000,-99999.0000,56.0000,41.0000,49.8421,34.1579,-99999.0000
2126,2018/10/25 00:00:00,21.0455,14.3333,13.5833,13.8421,17.0476,11.5238,11.3158,18.5833,19.0833,40.7500,-99999.0000,-99999.0000,18.0000,10.9474,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
2127,2018/10/26 00:00:00,27.4500,12.8571,18.1905,29.0526,18.7619,15.2500,20.0500,18.3333,28.0500,32.4500,-99999.0000,-99999.0000,36.3333,41.9583,37.3000,33.7500,-99999.0000,-99999.0000,47.1000,31.0526,34.9048,22.7000,-99999.0000
